질문,답변,출처(날짜)
"전구물질이란 무엇이며, 왜 CBAM 계산에서 별도로 다루나요?","전구물질은 대상제품을 생산하는 공정에 투입되는 원료 물질을 말합니다. CBAM에서 전구물질은 중요한 역할을 하는데, 이는 해당 제품의 내재배출량을 산정하는 데 필요한 핵심 구성 요소 중 하나이기 때문입니다. 전구물질의 내재배출량은 제품의 탄소배출량을 결정하는 중요한 요소 중 하나로, CBAM에서는 이를 고려하여 제품당 배출량을 산정합니다.

CBAM에서 전구물질을 별도로 다루는 이유는, 제품의 내재배출량을 정확히 산정하기 위해 각 공정에 투입된 전구물질의 내재배출량을 파악해야 하기 때문입니다. 전구물질은 제품의 생산과정에서 직접적으로 탄소배출에 기여하는 요소이므로, CBAM에서는 이를 고려하여 제품의 탄소배출량을 산정하고 관리합니다. 따라서 전구물질은 CBAM 계산에서 별도로 다루어지며, 이를 통해 제품의 탄소배출을 효과적으로 평가하고 관리할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
복합제품과 단일제품의 정의 차이는 무엇인가요?,"복합제품과 단일제품의 정의 차이는 전구물질의 고유내재배출량을 포함하는 여부에 있습니다. 복합제품은 전구물질의 고유내재배출량을 포함하여 산정해야 하지만, 단일제품은 전구물질의 고유내재배출량을 포함하지 않습니다. 이러한 차이 때문에 산정 방식이 달라지며, CBAM 보고 방법에 따라 내재배출량이 0으로 간주되는 단일제품과 전구물질의 고유내재배출량을 포함하는 복합제품으로 구분됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
"배출계수란 무엇이며, 누가 정하나요?","배출계수는 연료나 물질을 소비했을 때 발생하는 이산화탄소(CO₂)의 양을 나타내는 값입니다. 이 값은 연료나 물질의 탄소 함량에 따라 결정되며, 일반적으로 tCO₂/t 또는 tCO₂/㎥ 단위로 표시됩니다. 

배출계수는 국제에너지기구(IEA)의 데이터를 기반으로 결정되며, 수입업자용에서만 공개됩니다. 이 값은 각 연료 또는 물질에 대한 배출계수를 산정하여 사용됩니다. 또한, 자체 생산한 전력과 구매한 전력 등 다양한 경로로 전력을 소비하는 경우, 각 전력의 배출계수를 가중평균하여 전력 생산공정의 전력배출계수를 결정할 수 있습니다. 

따라서 배출계수는 연료나 물질의 소비에 따른 이산화탄소 배출량을 측정하고 관리하기 위해 사용되며, 이 값은 IEA의 데이터를 기반으로 결정됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM에서 배출계수는 고정인가요? 조정 가능한가요?,"문서에서 해당 정보를 찾을 수 없습니다. 이에 대한 명확한 답변을 제공하기 어렵습니다. 추가적인 정보가 필요하신 경우, 해당 내용을 다시 확인하시거나 관련 문서를 참고하시는 것이 도움이 될 것입니다.더 깊은 정보를 원하신다면 해당 내용에 대해 더 자세히 알아보시는 것을 추천드립니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"산화계수란 무엇이고, 왜 적용하나요?","산화계수란 투입된 연료의 탄소 중 산화된 탄소(CO2)의 비율을 나타내는 값입니다. 이 값은 제품당 배출량을 CBAM(탄소국경조정제도) 산정하는 과정에서 중요한 역할을 합니다. 산화계수를 통해 제품의 탄소 배출량을 정확히 파악할 수 있고, 이를 토대로 CBAM 제도에 따른 요금이 부과되기 때문에 정확한 값의 산출이 필요합니다.

산화계수는 일반적으로 보수적인 값인 '1'을 적용하거나, 특정 연료나 원료에 대해 정확한 값이 개발되어 적용됩니다. 산화계수는 CBAM 산정에 있어서 중요한 요소이며, 정확한 값의 산출을 통해 제품의 탄소 배출량을 정확히 파악할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
생산국에 따라 배출량 산정 방식이 달라지나요?,"문서에서는 생산국에 따라 배출량 산정 방식이 달라진다고 명시되어 있지는 않습니다. CBAM에서는 제품당 배출량을 산정할 때, 제품 생산과정에서 발생하는 배출량을 고려하며, 이는 제품 생산 시설의 유형에 따라 배출계수 산정 방법이 달라질 수 있다고 설명되어 있습니다. 이는 생산시설의 특성에 따라 배출량을 산정하는 방식이 다를 수 있다는 것을 의미합니다. 따라서 생산국에 따라 배출량 산정 방식이 달라질 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM 보고에 필요한 데이터는 어떤 기준으로 선택되나요?,"CBAM 보고에 필요한 데이터는 CBAM 제품 사업자의 CBAM 커뮤니케이션 템플릿을 기반으로 선택됩니다. 이 템플릿은 지불된 탄소가격 금액, 소비 전력, 고유 내재 배출량(직접 및 간접), 분야별 추가 보고 매개변수 등을 포함하고 있습니다. 또한 CBAM 전환 등록부에서 제공되는 국가별 기본계수나 해당 국가의 전력배출계수도 고려됩니다. 이러한 데이터는 CBAM 보고서 작성 및 제출에 필요한 정보를 확보하기 위해 선택되며, 보고자가 해당 정보를 제출할 수 있도록 구성되어 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CN코드는 왜 필요한가요?,"CN코드는 유럽연합의 품목 체계를 나타내는 코드로, CBAM 보고서 작성 시 필요합니다. 이 코드는 특정 제품을 식별하고 구분하기 위해 사용됩니다. 예를 들어, 제품의 성질이나 구성물에 따라 CBAM 대상 품목인지 아닌지를 판단할 때 CN코드가 필요합니다. 또한, CN코드를 통해 제품의 세부 정보를 파악하고 보고서 작성에 활용할 수 있습니다. 따라서 CN코드는 CBAM 대응을 위한 중요한 요소로 사용됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
CBAM은 얼마나 자주 개정되거나 업데이트되나요?,"CBAM은 일정한 주기로 개정되거나 업데이트됩니다. 예를 들어, CBAM의 경우 2023년 10월 1일에 시행되었고, 이후 2024년 1월 31일, 4월 30일, 7월 31일 등의 보고서 제출 기한이 있습니다. 이러한 기한은 CBAM의 업데이트와 개정을 반영하고 있습니다. 또한, 보고서의 수정이 가능한 기간도 있으며, 필요한 경우 보고인의 요청과 관할당국의 승인을 거쳐 수정이 가능합니다. 따라서 CBAM은 정기적으로 업데이트되며, 필요에 따라 수정이 이루어질 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
우리 플랫폼에서는 Scope 1/2/3 계산은 왜 제외되었나요?,"플랫폼에서 Scope 1/2/3 계산이 제외된 이유는 CBAM의 배출량 산정 방법론이 EU ETS를 기반으로 하고 있기 때문입니다. CBAM은 시설군의 직접배출을 산정하는 방법을 다루고 있어서, 시설군 내 전력소비에 따른 배출을 나타내지 않습니다. 따라서, Scope 1/2/3 계산은 CBAM 방법론의 적용 범위 밖에 해당하게 됩니다. 이러한 이유로 우리 플랫폼에서는 Scope 1/2/3 계산을 제외하고 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17, 23.08.17"
제품명을 입력할 때 어떤 형식으로 작성해야 하나요?,"제품명을 입력할 때는 'Name' 공정명을 입력하면 되며, 본 예시에서는 공정명을 'sample 1'으로 가정하였습니다. 이는 플랫폼에서 제품명을 입력하는 방식을 가이드하고 있습니다. 입력 시에는 해당 공정명을 입력란에 적절히 작성하여야 합니다. 만약 미입력 시에는 에러 메시지가 표시됩니다. 따라서 정확한 제품명을 입력하기 위해 해당 공정명을 입력란에 입력해주셔야 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CN코드는 어디에서 확인할 수 있나요?,"CN코드는 보고서에 입력해야 하며, 이는 유럽연합의 품목 체계인데요. 플랫폼에서는 HS코드를 입력하면 연관되는 CN코드가 자동 조회되어 사용자가 선택할 수 있게 구현되어 있습니다. 이렇게 하면 복잡한 코드 체계로 인해 CN코드를 직접 찾기 어려운 상황에서도 편리하게 확인할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
제품군을 선택하지 않으면 계산이 불가능한가요?,"제품군을 선택하지 않으면 계산이 불가능합니다. CBAM 시스템에서는 제품군을 선택하여 해당 제품군에 따라 필요한 정보를 입력해야만 정확한 계산이 가능합니다. 따라서, 제품군을 선택하지 않으면 계산이 불가능하며, 이는 CBAM 시스템의 기본 동작 방식입니다. 이 내용은 '플랫폼 반영 사항 정리 문서'에 자세히 설명되어 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
단일제품과 복합제품은 어떻게 입력을 구분해야 하나요?,"답변:
단일제품과 복합제품을 입력 구분하는 방법은 전구물질의 포함 여부에 따라 달라집니다. 

- **단일제품(Simple goods)**: 내재배출량이 0으로 간주되는 투입 원료를 사용하여 생산된 제품을 의미합니다. 이 경우에는 전구물질의 고유내재배출량을 고려하지 않습니다.

- **복합제품(Complex goods)**: 전구물질의 고유내재배출량을 포함하여 계산해야 하는 제품을 의미합니다. 이는 제품을 생산하기 위해 공정에 투입되는 전구물질의 내재배출량을 함께 고려해야 합니다.

플랫폼에서는 제품을 등록할 때 사용자가 각 제품이 단순제품인지 복합제품인지 선택할 수 있습니다. 복합제품의 경우에는 전구물질의 내재배출량을 입력할 수 있는 추가 입력 필드가 제공되어 복합재의 내재배출량을 산정할 수 있도록 도와줍니다. 

이렇게 사용자가 선택한 정보를 기반으로 플랫폼은 적절한 산정 방식을 적용하여 제품당 배출량을 계산하게 됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
생산국가는 어떤 기준(설비 위치? 수출 대상?)으로 입력하나요?,"문서에서는 생산국가를 입력할 때 설비의 위치를 기준으로 하거나 수출 대상을 기준으로 하는 것으로 보입니다. 설비의 위치는 사업자등록증 등에 기재된 지리적 위치를 의미하며, 수출 대상은 수출 제품의 생산 공정을 기준으로 한다고 설명되어 있습니다. 이에 따라 CBAM 플랫폼에서는 이러한 기준을 따라 생산국가를 입력하게 될 것입니다. 생산국가를 입력할 때는 해당 국가의 UN/LOCODE(United Nations Code for Trade and Transport Locations)와 정확한 주소 및 영문 번역, 사업장의 주된 배출원의 지리적 좌표 등의 정보를 함께 입력해야 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
연료 종류 입력은 정확히 어떤 방식으로 이루어지나요?,"문서에서는 연료 종류 입력이 정확히 어떻게 이루어지는지에 대한 구체적인 설명은 찾을 수 없습니다. 그러나 제도적인 관점에서 보면, 연료 종류 입력은 해당 시스템 또는 플랫폼에서 제공하는 입력 폼을 통해 이루어질 것으로 예상됩니다. 사용자는 연료의 종류를 선택하거나 입력하여 시스템에 제출할 것이며, 해당 정보를 기반으로 배출량이나 기타 계산이 이루어질 것입니다. 

만약 플랫폼 반영 사항 정리 문서에 구체적인 연료 종류 입력 방식에 대한 설명이 있다면, 해당 문서를 참고하여 자세한 내용을 확인할 수 있을 것입니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
연료의 단위가 다른 경우에는 어떻게 처리하나요?,"연료의 단위가 다른 경우에는 일반적으로 표준화된 단위로 환산하여 처리합니다. 예를 들어, 활동 자료가 부피/중량 단위로 관리되고 있을 때, 연료의 활동 자료가 열량 단위로 관리되는 경우에는 표준화된 단위로 변환하여 처리합니다. 이를 통해 연료 간의 비교나 계산을 보다 쉽게 할 수 있습니다. 필요한 경우, 표준방법이나 활동 데이터의 단위에 따라 소수점 셋째 자리까지 반올림하여 값을 활용할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
전력 사용량은 어떻게 입력하나요? 계약전력도 필요하나요?,"전력 사용량을 입력하고 계약전력을 확인하는 방법은 다음과 같습니다:

1. **전력 사용량 입력**: 전력 사용량은 해당 시설이나 기업이 실제로 사용한 전력량을 나타냅니다. 이는 전력 사용량을 측정하고 기록하는 것을 의미합니다. 전력 사용량은 MWh(메가와트시) 또는 TJ(테라줄) 단위로 표시될 수 있습니다. 전력 사용량은 각 생산 공정이나 시설에서 소비된 전력량을 정확히 파악하기 위해 모니터링되어야 합니다.

2. **계약전력 확인**: 계약전력은 해당 시설이나 기업이 전력 공급업체와 체결한 전력 공급 계약에서 정한 전력량을 의미합니다. 계약전력은 전력 공급 업체와의 전력 공급 계약서(PPA)를 통해 확인할 수 있습니다. 전력 공급 계약서에 명시된 계약전력은 해당 시설이나 기업이 연도별로 사용할 수 있는 최대 전력량을 나타냅니다.

따라서, 전력 사용량을 정확히 입력하고 계약전력을 확인하여 CBAM(탄소국경조정제도)에 대한 적절한 증빙을 제출할 수 있습니다. 필요한 경우, 전력 사용량과 계약전력을 기준으로 배출량을 산정하여 CBAM에 적용할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
전력 배출계수는 자동으로 입력되나요?,"A:
전력 배출계수는 자동으로 입력되지 않습니다. 사용자가 해당하는 기본값 중 하나를 선택하여 직접 입력해야 합니다. 이를 통해 포함시켜 제품 내재 배출량을 산정할 수 있습니다. 간접배출을 결정할 때 사용할 수 있는 전력 배출계수는 국제에너지기구(IEA)의 년평균 데이터를 기반으로 설정되며, CBAM 전환기간 동안 사용 가능한 데이터로 제공됩니다. 재생에너지로 발전한 전력을 사용할 경우 전력 배출계수는 0으로 적용되며, 이는 CBAM에서 재생에너지 인증서를 구매하는 시장 기반 방법을 허용하지 않음을 의미합니다. 필요한 경우 사용자는 해당 발전 설비의 배출계수를 직접 입력할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"동일한 공정에서 여러 제품을 생산할 경우, 어떻게 나눠서 입력하나요?","동일한 공정에서 여러 제품을 생산할 경우, 각 제품별로 투입량을 구분하여 입력해야 합니다. 이때, 플랫폼에서는 공정별 투입량을 직접 입력하도록 되어 있어 별도의 할당 과정을 거치지 않고 간편하게 처리할 수 있습니다. 따라서 각 제품에 해당하는 공정명을 입력하고, 해당 제품의 공정에서 사용되는 투입량을 입력하면 됩니다. 이를 통해 각 제품에 대한 데이터 할당을 쉽게 할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
간접배출량은 사용자가 계산해서 입력해야 하나요?,간접배출량은 사용자가 직접 계산하여 입력해야 합니다. CBAM(탄소국경조정제도)에서는 간접배출량을 사용자가 직접 추정하고 산정해야 합니다. 이는 제품을 생산하는 과정에서 발생하는 미미한 배출량을 예측하고 입력해야 함을 의미합니다. 사용자는 간접배출량을 정확하게 계산하여 CBAM 플랫폼에 입력해야 합니다.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"산화계수는 자동 계산되나요, 아니면 입력값이 필요한가요?","산화계수는 입력값이 필요한 항목입니다. 자동으로 계산되지 않고 사용자가 입력해야 하는 정보입니다. 이 값은 투입된 연료의 탄소 중 산화된 탄소(CO2)의 비율을 나타내는 값으로, CBAM에서 제품당 배출량을 산정하는 과정에서 중요한 역할을 합니다. 따라서 정확한 값을 입력하여야 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
제품당 수출량은 어떤 단위로 입력하나요?,"제품당 수출량은 ton 단위로 입력하게 됩니다. 이는 EU CBAM의 활동데이터 단위 중 하나이며, 수입업자가 제품당 배출량을 보고할 때 사용되는 단위입니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
복합제품에서 각 구성 원료의 입력은 개별로 입력해야 하나요?,"복합제품에서 각 구성 원료의 입력은 개별로 입력해야 합니다. CBAM(탄소국경조정제도)에 따르면 제품 생산에 사용되는 각 원료의 배출량은 개별적으로 입력되어야 합니다. 이는 제품 생산에 사용되는 공통 자원을 각 생산 공정으로 할당하기 위한 방법으로, 각 구성 요소의 배출량을 개별적으로 입력해야 합니다. 이렇게 하면 각 원료의 탄소배출량이 정확히 반영되며, CBAM에 따른 요구사항을 충족시킬 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
직접배출량은 어떤 방식으로 계산되나요?,"직접배출량은 연료나 원료 등을 통해 발생한 배출량을 의미합니다. 직접배출량은 열량과 열 배출계수의 곱으로 계산됩니다. 즉, 투입물(연료 또는 원료)의 열량과 해당 투입물의 열 배출계수를 곱하여 직접배출량을 계산합니다. 

이러한 계산 방식은 CBAM-6에서 제시된 계산기반 방법론 및 표준물질수지과 측정기반 방법론을 통해 직접배출량을 산정하는데 사용됩니다. 따라서 직접배출량은 해당 연료나 원료의 특성과 배출계수를 고려하여 정확히 계산되어야 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
간접배출량은 어떤 기준으로 계산되나요?,"간접배출량은 주로 제품을 생산하는 공정에서 발생하는 미미한 배출량을 추정하여 계산됩니다. 이는 사업자의 사업장에서 발생하는 배출량을 추정하는 것을 의미하며, 예를 들어, 제품을 생산하는 공정에서 발생하는 배출량을 추정하는 방법이 있습니다. 이때, 추정 방법은 기본값을 사용하거나 다른 출처의 방법을 사용할 수 있습니다.

간접배출량은 총 내재배출량의 20%까지 추정할 수 있으며, 제품당 배출량을 산정하는 방법에 따라 계산됩니다. 이때, 간접배출량은 제품당 배출량을 계산하여 총 내재배출량에서 직접배출량을 뺀 값으로 정확도를 향상시킬 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
