질문,답변,출처(날짜)
"전구물질이란 무엇이며, 왜 CBAM 계산에서 별도로 다루나요?",전구물질은 제품 생산 공정에 투입되는 가공된 원료입니다. CBAM 계산에서 별도로 다루는 이유는 이들의 내재배출량이 제품의 총 배출량에 영향을 미치기 때문입니다.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
복합제품과 단일제품의 정의 차이는 무엇인가요?,단순제품은 내재배출량이 0으로 간주되는 원료로 생산된 제품을 말해요. 복합제품은 전구물질의 내재배출량을 포함하여 계산해야 하는 제품을 의미합니다.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
"배출계수란 무엇이며, 누가 정하나요?","배출계수는 연료 소비량에 따른 배출량을 나타내는 값입니다. 주로 tCO₂/t 또는 tCO₂/㎥ 단위로 사용됩니다. 플랫폼 관련 사항은 manual 문서를, CBAM 관련 사항은 guide와 cbam 문서를 참고해 주세요.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM에서 배출계수는 고정인가요? 조정 가능한가요?,"CBAM의 배출계수는 고정되어 있지 않고 조정 가능합니다. 전환기간 동안 사용 가능한 전력 배출계수는 국제에너지기구(IEA)의 연평균 데이터를 기반으로 하며, 집행위원회가 국가별로 제공하는 데이터를 참고할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"산화계수란 무엇이고, 왜 적용하나요?","산화계수는 투입된 연료의 탄소 중 산화된 탄소(CO₂)의 비율을 산정한 값입니다. CBAM 산정 과정에서 시료 채취 및 시험 분석을 통해 산화계수를 직접 개발하지 않았다면, 보수적인 값인 '1'을 적용할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
생산국에 따라 배출량 산정 방식이 달라지나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM 보고에 필요한 데이터는 어떤 기준으로 선택되나요?,"CBAM 보고에 필요한 데이터는 CBAM 커뮤니케이션 템플릿의 '요약_공정' 및 '요약_제품'에서 확인할 수 있으며, 주로 배출량 관련 정보와 기지불한 탄소가격 정보가 포함됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CN코드는 왜 필요한가요?,"CN코드는 EU CBAM 보고서에 입력해야 하는 필수 품목 체계입니다. 이는 국제 무역상품분류코드(HS)를 기반으로 하며, EU의 독자적인 하위 분류를 추가한 8자리 코드입니다. CBAM 대상 품목을 판단하는 데 사용됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
CBAM은 얼마나 자주 개정되거나 업데이트되나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
우리 플랫폼에서는 Scope 1/2/3 계산은 왜 제외되었나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17, 23.08.17"
제품명을 입력할 때 어떤 형식으로 작성해야 하나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CN코드는 어디에서 확인할 수 있나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
제품군을 선택하지 않으면 계산이 불가능한가요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
단일제품과 복합제품은 어떻게 입력을 구분해야 하나요?,"단일제품과 복합제품은 전구물질 포함 여부에 따라 구분합니다. 단일제품은 전구물질을 포함하지 않으며, 복합제품은 포함합니다. 플랫폼에서 제품 등록 시 선택에 따라 전구물질 입력탭이 노출됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
생산국가는 어떤 기준(설비 위치? 수출 대상?)으로 입력하나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
연료 종류 입력은 정확히 어떤 방식으로 이루어지나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
연료의 단위가 다른 경우에는 어떻게 처리하나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
전력 사용량은 어떻게 입력하나요? 계약전력도 필요하나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
전력 배출계수는 자동으로 입력되나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"동일한 공정에서 여러 제품을 생산할 경우, 어떻게 나눠서 입력하나요?",공정별로 투입량을 직접 입력하여 개별 공정으로 할당합니다. 자동으로 분배되어 처리되므로 별도 할당 과정이 필요하지 않습니다.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
간접배출량은 사용자가 계산해서 입력해야 하나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"산화계수는 자동 계산되나요, 아니면 입력값이 필요한가요?",산화계수는 직접 개발하지 않았다면 보수적인 값인 '1'을 적용할 수 있습니다. 자동 계산 여부는 문서에 명시되지 않았습니다.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
제품당 수출량은 어떤 단위로 입력하나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
복합제품에서 각 구성 원료의 입력은 개별로 입력해야 하나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
직접배출량은 어떤 방식으로 계산되나요?,"직접배출량은 계산기반 방법론과 측정기반 방법론을 통해 산정됩니다. 계산기반 방법론은 표준물질수지를 사용하고, 측정기반 방법론은 유량과 농도를 측정하여 배출량을 결정합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
간접배출량은 어떤 기준으로 계산되나요?,간접배출량은 계산 또는 측정 방법으로 구분됩니다. 전구물질의 간접배출량은 전구물질간접배출량 산정 방법론에 따라 계산됩니다. 자세한 내용은 제공된 문서를 참조하세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
복합제품은 어떤 방식으로 계산되나요?,복합제품은 생산 공정에서 발생한 온실가스 배출량과 공정에 투입되는 전구물질의 제품당 배출량을 포함하여 산정합니다. 자세한 내용은 가이던스 섹션 4.3.4(EU 수입업자)와 섹션 4.3.3(비EU 사업장)에서 확인할 수 있습니다.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
전구물질은 어떻게 계산되나요?,전구물질의 배출량은 각 전구물질의 고유내재배출량을 합산하여 계산합니다. 각 전구물질의 배출량은 제품의 고유내재배출량과 동일한 방법으로 산정합니다.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
"세금(전력세, 에너지세 등)은 계산에 포함되나요?","네, 세금은 계산에 포함됩니다. 전력세는 기후환경요금으로, 에너지세는 교통·에너지·환경세와 개별소비세로 자동 계산됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17"
인증서 단가는 어떤 기준으로 계산되나요?,CBAM 인증서 단가는 EU-ETS 배출권 경매 종가의 주당 평균가를 기준으로 산정됩니다. 경매가 없는 주는 마지막 경매 주의 평균가를 사용합니다. 플랫폼은 매주 이 평균을 계산해 반영합니다.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17, 23.08.17"
수출량을 입력하지 않으면 인증서 예상 비용은 어떻게 계산되나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
보고서에 포함되는 항목은 무엇인가요?,"보고서에는 보고서 발행일, ID, 보고기간, 수입품 총량, 총 배출량, 수입업자 정보, 상품 코드, 원산지, 통관 절차별 수입량 등이 포함됩니다. (이행규정 부속서 I 참고)","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"배출계수, 산화계수도 보고서에 표시되나요?",해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
이 보고서를 EU에 그대로 제출해도 되나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"인증서 단가는 고정인가요, 변동되나요?",해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17"
