질문,답변,출처(날짜)
"전구물질이란 무엇이며, 왜 CBAM 계산에서 별도로 다루나요?","전구물질(Precursor)이란 제품 생산 공정에 투입되는 원료 중, 별도의 생산 공정을 거친 물질을 의미합니다. 예를 들어, 석회석이나 소결광과 같은 물질이 전구물질로 분류될 수 있습니다. 전구물질은 CBAM(탄소국경조정제도)에서 중요한 역할을 하는데, 이는 전구물질이 제품의 생산 과정에서 사용되는 연료나 원료와 함께 직접 및 간접적인 온실가스 배출량에 기여하기 때문입니다.

CBAM 계산에서 전구물질을 별도로 다루는 이유는, 전구물질이 제품의 내재배출량에 영향을 미치기 때문입니다. 전구물질의 내재배출량은 제품당 배출량을 산정할 때 중요한 요소로 작용하며, 이를 정확하게 산정하기 위해 전구물질의 사용량과 특성을 고려해야 합니다. 또한, 전구물질에 대한 정보가 부족한 경우에는 기본값을 적용하여 배출량을 산정할 수 있도록 규정하고 있습니다. 이처럼 전구물질은 CBAM에서 제품의 탄소 발자국을 평가하고 관리하는 데 중요한 요소로 작용합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
복합제품과 단일제품의 정의 차이는 무엇인가요?,"복합제품과 단순제품의 정의 차이에 대해 설명드리겠습니다.

**단순제품(Simple goods)**:
- 단순제품은 천연물질(raw material) 또는 고유내재배출량이 0으로 간주될 수 있는 전구물질로 생산된 제품입니다.
- 이러한 제품들은 전구물질의 고유내재배출량을 포함하지 않습니다.

**복합제품(Complex goods)**:
- 복합제품은 제품 생산공정에 투입되는 전구물질의 고유내재배출량을 0으로 간주할 수 없는 제품입니다.
- 복합제품의 경우, 전구물질의 고유내재배출량을 포함하여 계산해야 합니다.

이 두 가지 제품 유형은 CBAM 제도에서 제품당 배출량 산정 방법에 차이를 두고 있습니다. 단순제품은 전구물질의 배출량을 고려하지 않지만, 복합제품은 이를 포함하여 배출량을 산정해야 합니다. 

플랫폼에서는 제품 등록 시, 사용자 선택에 따라 전구물질 입력탭이 노출되며, 복합제품의 경우에만 추가 입력필드가 열려 입력 복잡도를 줄이는 방식으로 구현되어 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
"배출계수란 무엇이며, 누가 정하나요?","배출계수는 특정 연료나 물질이 연소될 때 발생하는 이산화탄소(CO₂) 등의 온실가스 배출량을 나타내는 지표입니다. 주로 연료 소비량 당 배출량(tCO₂/t 또는 tCO₂/㎥) 형태로 표현됩니다. 배출계수는 연료의 탄소 함량을 기반으로 계산되며, 바이오매스를 연료로 사용하는 경우에는 CO₂ 배출량을 0으로 간주할 수 있습니다.

배출계수는 국제 에너지 기구(IEA)와 같은 기관에서 제공하는 데이터를 기반으로 산정되며, 각국의 규제 기관이나 관련 플랫폼에서 이를 공식적으로 채택하고 사용할 수 있도록 정합니다. 예를 들어, EU의 탄소국경조정제도(CBAM)에서는 이러한 배출계수를 공식적으로 활용하여 제도를 운영할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM에서 배출계수는 고정인가요? 조정 가능한가요?,"CBAM에서 배출계수는 고정된 것이 아니라 조정 가능합니다. CBAM 제도에서는 배출계수를 적용할 때, 배출 규모에 따른 제한을 두지 않고 있습니다. 이는 모니터링 비용과 편익을 고려하여 기본 배출계수와 사업장 고유 배출계수를 선택적으로 사용할 수 있도록 하기 위함입니다. 따라서, 배출계수는 상황에 따라 조정이 가능하며, 이를 통해 더 정확한 배출량 산정이 이루어질 수 있습니다. 

이 내용은 제도 전반에 대한 개념에 해당하므로, 가이드라인이나 해설서를 참고하여 설명드렸습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"산화계수란 무엇이고, 왜 적용하나요?","산화계수는 투입된 연료의 탄소 중 산화된 탄소(CO₂)의 비율을 산정한 값을 의미합니다. 이는 연료에 포함된 총 탄소에 대해 실제로 이산화탄소로 전환된 비율을 나타내며, 배출량을 정확하게 계산하기 위해 사용됩니다. 

산화계수를 적용하는 이유는, 연료가 완전히 연소되지 않을 경우 실제로 배출되는 CO₂의 양이 달라질 수 있기 때문입니다. 따라서, 산화계수를 통해 보다 정확한 배출량을 산정할 수 있습니다. 만약 산화계수를 직접 개발하지 않았다면, 일반적으로 보수적인 값인 '1'을 적용할 수 있습니다. 이는 모든 탄소가 이산화탄소로 완전히 산화된다고 가정하는 것입니다.

이 설명은 제도 전반에 대한 개념을 다루고 있으므로, **EU 탄소국경제도 전환기간 이행 가이드라인**이나 **알기쉽게 풀어쓴 CBAM 해설서**를 참고하여 제공되었습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
생산국에 따라 배출량 산정 방식이 달라지나요?,"생산국에 따라 배출량 산정 방식이 달라질 수 있습니다. CBAM의 배출량 산정은 기본적으로 계산 또는 측정 기반 방법론을 따르며, 이는 Tier 1부터 Tier 4까지의 다양한 수준으로 구분됩니다. 각 생산국의 전력망 배출계수나 전력 생산 방식에 따라 배출량 산정에 사용되는 데이터와 방법이 다를 수 있습니다.

예를 들어, 전력에 대한 실제 배출계수는 전력 생산원과 제품을 생산하는 사업장 사이에 직접적으로 연결되어 있는 경우나 전력 구매 계약(PPA)이 있는 경우에 사용할 수 있습니다. 또한, 전환 기간 동안에는 국내 배출권 거래제의 국가 전력 배출계수를 적용할 수 있습니다.

따라서, 생산국의 전력망 구조, 전력 생산 방식, 그리고 관련 규정에 따라 배출량 산정 방식이 달라질 수 있습니다. 이는 CBAM 이행 가이드라인 및 해설서에서 제시된 원칙을 따르며, 플랫폼 구현 시에도 이러한 차이를 반영할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM 보고에 필요한 데이터는 어떤 기준으로 선택되나요?,"CBAM 보고에 필요한 데이터는 CBAM 전환기간 이행규정 부속서 I에서 요구하는 정보를 기반으로 선택됩니다. 이 부속서의 Table 1과 Table 2에서 요구하는 정보는 주로 배출량 관련 정보(총 배출량, 직접배출량, 간접배출량 등)와 기지불한 탄소가격 정보입니다. 이러한 정보들은 CBAM 커뮤니케이션 템플릿의 '요약_공정' 및 '요약_제품' 시트에서 대부분 확인할 수 있도록 구성되어 있습니다.

보고를 위해 계산되어야 하는 관련 매개변수는 다음과 같습니다:
- 지불된 탄소가격 금액
- 소비 전력
- 고유 (직접) 내재 배출량
- 고유 (간접) 내재 배출량
- 분야별 추가 보고 매개변수 (예: 합금 성분 %, 고철 톤/알루미늄이나 철강 톤 등)

이 정보들은 CBAM 전환 등록부를 통해 제공되며, 수입업자나 신고자가 분기별로 보고서를 제출할 때 필요한 기준으로 사용됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CN코드는 왜 필요한가요?,"CN코드는 유럽연합의 품목 분류 체계로, CBAM(탄소국경조정제도) 보고서에 입력해야 하는 중요한 요소입니다. CN코드는 국제무역상품분류코드(HS)에 기반하여 유럽연합의 고유한 하위분류를 추가한 코드로, 총 8자리로 구성되어 있습니다. 이 코드는 대외무역을 통해 거래되는 재화를 식별하는 데 사용되며, CBAM 대상 상품을 판단하는 데 중요한 역할을 합니다.

CBAM 제도에서는 수출입되는 상품의 탄소 배출량을 정확히 산정하고 보고하기 위해 CN코드를 사용하여 상품을 식별하고 분류합니다. 이를 통해 유럽연합은 각 상품의 탄소 배출량을 추적하고, 탄소국경세를 부과할 수 있는 근거를 마련합니다.

우리 플랫폼에서는 HS코드를 입력하면 자동으로 연관되는 CN코드를 조회하여 사용자가 선택할 수 있도록 구현되어 있어, 실무자가 복잡한 코드 체계를 손쉽게 다룰 수 있도록 편리성을 제공합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
CBAM은 얼마나 자주 개정되거나 업데이트되나요?,"CBAM(탄소국경조정제도)의 개정이나 업데이트 주기는 특정한 일정에 따라 정해져 있지 않습니다. 제도의 개정은 보통 EU의 정책 변화, 환경 목표 수정, 국제 협약의 변화 등에 따라 필요시 이루어질 수 있습니다. 이러한 변경 사항은 주로 EU 집행위원회나 관련 당국에 의해 검토되고, 새로운 규정이나 가이드라인이 발표될 때마다 관련 문서 및 자료가 업데이트됩니다.

CBAM과 관련된 세부적인 업데이트 주기에 대한 정보는 제공된 문서들에서는 찾을 수 없으므로, 최신 정보를 얻기 위해서는 관련 EU 공식 웹사이트나 공지사항을 주기적으로 확인하는 것이 좋습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
우리 플랫폼에서는 Scope 1/2/3 계산은 왜 제외되었나요?,"우리 플랫폼에서는 CBAM 배출량 산정 시 Scope 1, 2, 3 계산이 제외된 이유는 CBAM의 배출량 산정 방법론이 일반적인 GHG 프로토콜과 다르기 때문입니다. CBAM은 EU ETS를 반영하도록 개발되었으며, 주로 시설군의 직접배출을 산정하는 방법을 다룹니다. 따라서 전력 소비에 따른 간접배출(Scope 2)이나 기타 공급망에서 발생하는 배출(Scope 3)은 포함되지 않습니다. 플랫폼 반영 사항 정리 문서에 따르면, 이러한 CBAM의 특성에 맞춰 플랫폼이 구현되었습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17, 23.08.17"
제품명을 입력할 때 어떤 형식으로 작성해야 하나요?,"제품명을 입력할 때는 플랫폼 반영 사항 정리 문서를 참고하여, 다음과 같은 형식으로 작성해야 합니다:

- 제품군을 입력한 후, 생산공정과 관련된 제품이 기본값으로 설정됩니다. 예를 들어 철강제품이 기본값으로 설정될 수 있습니다.
- 사용자는 해당되는 항목을 선택하고 'Name' 공정명을 입력해야 합니다.
- 공정명은 사용자가 임의로 설정할 수 있으며, 예시로 'sample 1'과 같은 형식으로 입력할 수 있습니다.
- 필수 항목이 입력되지 않으면 에러 메시지가 표시되므로, 모든 필수 정보를 정확히 입력해야 합니다.

따라서, 제품명을 입력할 때는 관련된 항목을 선택하고, 공정명을 정확히 입력하는 것이 중요합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CN코드는 어디에서 확인할 수 있나요?,"CN코드는 일반적으로 유럽연합의 품목 체계에 해당하며, EU 통관 시 보고되는 상품의 CN코드를 참조하여 확인할 수 있습니다. CBAM 보고서에는 CN코드를 입력해야 하며, 이는 유럽의 고유번호가 포함된 코드입니다. 

우리 플랫폼에서는 HS코드를 입력하면 연관되는 CN코드를 자동으로 조회할 수 있도록 구현되어 있습니다. 사용자는 플랫폼을 통해 자동 조회된 CN코드를 선택하여 사용할 수 있습니다. 이 방식은 복잡한 코드 체계를 직접 찾기 어려운 실무자들에게 편리성을 제공합니다. 

따라서, CN코드는 플랫폼 내에서 HS코드를 통해 자동 조회하여 확인할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
제품군을 선택하지 않으면 계산이 불가능한가요?,"네, 제품군을 선택하지 않으면 계산이 불가능합니다. 플랫폼 반영 사항 정리 문서에 따르면, '품목군분류 및 관련 생산 공정'은 필수 입력 항목으로 지정되어 있습니다. 따라서 제품군을 선택하지 않으면 에러 메시지가 표시되며, 계산을 진행할 수 없습니다. 이는 플랫폼에서 필수적으로 요구하는 단계이므로, 반드시 제품군을 선택하여야 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
단일제품과 복합제품은 어떻게 입력을 구분해야 하나요?,"단일제품(단순제품)과 복합제품의 입력 구분은 전구물질의 포함 여부에 따라 결정됩니다. 

**개념 설명:**
- **단순제품(Simple goods):** 전구물질의 고유내재배출량이 0으로 간주되며, 제품 생산공정에서 발생하는 배출량만으로 고유내재배출량을 산정합니다.
- **복합제품(Complex goods):** 전구물질의 고유내재배출량을 포함하여 산정해야 합니다. 즉, 제품 생산공정뿐만 아니라, 공정에 투입되는 전구물질의 배출량도 고려해야 합니다.

**플랫폼 구현 방식:**
- 제품 등록 시, 사용자가 제품 유형(단순제품 또는 복합제품)을 선택하면 입력 방식이 달라집니다.
- **단순제품**의 경우, 일반적인 배출량 입력 필드만 노출됩니다.
- **복합제품**의 경우, 추가로 전구물질 입력 탭이 열리며, 사용자는 전구물질의 고유내재배출량을 입력해야 합니다. 이를 통해 입력 복잡도를 줄이고, 필요한 경우에만 추가 입력을 받도록 설계되었습니다.

따라서, 사용자는 제품 등록 시 제품의 성격에 따라 적절한 입력 필드를 선택하고 입력하면 됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
생산국가는 어떤 기준(설비 위치? 수출 대상?)으로 입력하나요?,"생산국가는 일반적으로 설비의 지리적 위치를 기준으로 입력합니다. 이는 사업장이 위치한 국가를 나타내며, 해당 국가가 UNFCCC에 제출한 최신 국가 인벤토리 기반의 표준 계수 등을 참고하여 배출량 산정에 필요한 정보를 제공합니다. 따라서, 설비가 실제로 위치한 국가를 입력하는 것이 원칙입니다. 

이와 관련된 정보는 플랫폼 반영 사항 정리 문서에서 사업장 및 시설의 위치에 대한 설명을 통해 확인할 수 있습니다. 설비의 위치를 기준으로 하는 이유는 해당 지역의 법적 규제와 환경적 요인을 반영하기 위함입니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
연료 종류 입력은 정확히 어떤 방식으로 이루어지나요?,"연료 종류 입력 방식에 대한 질문은 플랫폼의 구현 방식에 관한 것이므로 **플랫폼 반영 사항 정리 문서**를 참고하여 설명드리겠습니다.

플랫폼에서 연료 종류를 입력하는 방식은 다음과 같이 구현되어 있습니다:

1. **연료 유형 선택**: 사용자는 플랫폼 내에서 제공되는 연료 유형 목록에서 해당 연료를 선택할 수 있습니다. 이 목록은 일반적으로 사용되는 연료 유형들을 포함하고 있으며, 사용자는 필요에 따라 적절한 연료 유형을 선택하게 됩니다.

2. **연료 특성 입력**: 선택한 연료에 대한 세부 특성, 예를 들어 순발열량(NCVi), 배출계수(EFi), 산화계수(OFi) 등을 입력할 수 있는 필드가 제공됩니다. 이러한 특성들은 배출량 산정에 필요한 정보로, 정확한 입력이 요구됩니다.

3. **데이터 검증**: 입력된 연료 정보는 플랫폼에서 제공하는 데이터 검증 기능을 통해 오류를 체크할 수 있습니다. 이를 통해 입력된 데이터의 정확성을 높이고, 잘못된 데이터 입력으로 인한 문제를 방지할 수 있습니다.

위와 같은 방식으로 플랫폼은 연료 종류와 관련된 입력을 처리합니다. 이는 사용자가 연료 데이터를 효율적으로 관리하고, 배출량 산정에 필요한 정보를 정확하게 입력할 수 있도록 도와줍니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
