질문,답변,출처(날짜)
"전구물질이란 무엇이며, 왜 CBAM 계산에서 별도로 다루나요?","전구물질은 CBAM 계산에서 중요한 역할을 하는데, 제품 생산에 사용되는 원료 중 CBAM 대상인 반제품이나 전구물질을 말합니다. 이는 제품의 내재배출량을 산정하는 데 필요한 중요한 요소이며, 외부 업체로부터 구매한 전구물질의 내재배출량 정보를 얻기 어려울 때는 CBAM 가이드라인을 참고하여 대상제품의 고유 내재배출량을 산정할 수 있습니다. 이에 따라 전구물질은 CBAM 계산에서 별도로 다뤄지며, 제품의 내재배출량 산정에 중요한 역할을 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
복합제품과 단일제품의 정의 차이는 무엇인가요?,"복합제품은 단순제품을 제외한 모든 제품을 의미하며, 제품당 배출량을 제품의 생산 공정에서 발생한 온실가스 배출량 외에 공정에 투입되는 전구물질의 제품당 배출량까지 포함하여 산정해야 합니다. 단순제품은 내재배출량이 0으로 간주되는 투입 원료를 사용하여 생산된 제품을 의미합니다. 이에 따라, 단순제품과 복합제품은 전구물질의 고유내재배출량을 포함 여부에 따라 구분됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
"배출계수란 무엇이며, 누가 정하나요?","배출계수는 연료소비량 당 배출량(tCO₂/t 또는 tCO₂/㎥) 값을 나타냅니다. 해당 값은 수입업자가 산정하며, 연료 및 물질의 배출계수와 탄소함량을 이용해 결정됩니다. 전력을 생산하거나 구매할 때 각 전력의 배출계수를 가중평균하여 전력 생산 과정의 배출계수를 결정할 수 있습니다. 재생에너지는 탄소를 배출하지 않기 때문에 배출계수는 0이 될 수 있습니다. 배출계수는 활동자료와 순발열량을 이용하여 계산되며, 내재배출량을 결정하는데 사용됩니다. 해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM에서 배출계수는 고정인가요? 조정 가능한가요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"산화계수란 무엇이고, 왜 적용하나요?","산화계수란 투입된 연료의 탄소 중 산화된 탄소(CO2)의 비율을 나타내는 값입니다. CBAM에서는 제품당 배출량을 산정할 때 이 값을 사용하여 환산합니다. 일반적으로 '1'을 적용하며, 직접 개발하지 않았다면 이 값을 사용합니다. 이 값은 제품에 내재된 배출량을 계산하거나 도출된 값으로 사용됩니다.산화계수는 배출 공정이 진행되기 전에 소스 흐름에 포함된 총 탄소에 대한 CO2로 배출된 탄소의 비율을 나타내어 제품의 환산에 사용됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
생산국에 따라 배출량 산정 방식이 달라지나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM 보고에 필요한 데이터는 어떤 기준으로 선택되나요?,"CBAM 보고에 필요한 데이터는 CBAM 제품 사업자의 CBAM 커뮤니케이션 템플릿에서 확인할 수 있는데, 보고를 위해 계산되어야 하는 매개변수로는 지불된 탄소가격 금액, 소비 전력, 고유 내재 배출량, 분야별 추가 보고 매개변수 등이 있습니다. 이러한 정보는 CBAM 전환 등록부를 통해 제공되며, 국가별 기본계수 혹은 해당 국가의 전력배출계수를 적용하여 선택됩니다.더 자세한 내용이 필요하다면 CBAM 관련 문서를 참고해주세요.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CN코드는 왜 필요한가요?,"CN코드는 유럽연합의 품목 체계로, CBAM 보고서에 필요한 정보로 사용됩니다. 플랫폼은 HS코드를 입력하면 자동으로 연관된 CN코드를 조회하여 선택할 수 있도록 구현되어 있어요. 이렇게 함으로써 복잡한 코드 체계를 간편하게 사용할 수 있게 도와줍니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
CBAM은 얼마나 자주 개정되거나 업데이트되나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
우리 플랫폼에서는 Scope 1/2/3 계산은 왜 제외되었나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17, 23.08.17"
제품명을 입력할 때 어떤 형식으로 작성해야 하나요?,"제품명을 입력할 때는 해당 제품의 공정명을 입력하면 됩니다. 입력 결과에 따라 철강제품이 기본값으로 설정되며, 선택된 항목에 따라 'Name' 공정명을 입력하시면 됩니다. 만약 공정명을 입력하지 않으면 에러 메시지가 표시됩니다. 예를 들어, 공정명을 'sample 1'로 입력하면 됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CN코드는 어디에서 확인할 수 있나요?,"CN코드는 CBAM 보고서에 필요한 유럽연합의 품목 체계이며, 플랫폼에서는 HS코드를 입력하면 연관되는 CN코드가 자동 조회되어 선택할 수 있습니다. 해당 정보가 없을 경우, ""해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.""라고 안내드려야 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
제품군을 선택하지 않으면 계산이 불가능한가요?,"제품군을 선택하지 않으면 계산이 불가능합니다. CBAM 플랫폼에서는 제품군을 선택하여 해당되는 생산공정 및 품목을 설정해야만 정확한 계산이 가능합니다. 제품군을 선택하지 않으면 에러 메시지가 표시되며, 계산을 진행할 수 없습니다. 생산에 관련된 데이터를 입력하고 제품군을 정확히 설정하여야 합니다. 해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
단일제품과 복합제품은 어떻게 입력을 구분해야 하나요?,"단일제품과 복합제품은 제품 등록 시 전구물질 입력을 기준으로 구분됩니다. 단일제품은 고유내재배출량이 0으로 간주되는 제품을 말하며, 복합제품은 전구물질의 고유내재배출량을 포함하는 제품입니다. 플랫폼에서는 사용자가 선택하면 해당 입력창이 노출되어 구분이 가능합니다. 추가로 복합제품의 경우에는 전구물질 입력 필드가 더 추가되어 입력이 가능하도록 되어 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
생산국가는 어떤 기준(설비 위치? 수출 대상?)으로 입력하나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
연료 종류 입력은 정확히 어떤 방식으로 이루어지나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
연료의 단위가 다른 경우에는 어떻게 처리하나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
전력 사용량은 어떻게 입력하나요? 계약전력도 필요하나요?,"전력 사용량은 한전과 재생에너지 발전사로부터 받은 전력량을 기준으로 입력하면 됩니다. 재생에너지 사용 확인서를 통해 확인 가능하며, 전력 사용량에 따른 배출량은 전력 소비량과 전력에 대한 기본 배출계수를 기준으로 산정됩니다. 계약전력은 필요하지 않으며, 전력 사용량과 관련된 정보는 재생에너지 사용 확인서를 참고하시면 됩니다. 해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
전력 배출계수는 자동으로 입력되나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"동일한 공정에서 여러 제품을 생산할 경우, 어떻게 나눠서 입력하나요?",해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
간접배출량은 사용자가 계산해서 입력해야 하나요?,"간접배출량은 사용자가 직접 계산하여 입력해야 합니다. 내재배출량을 계산하고 다른 출처의 방법을 사용하여 간접배출량을 추정할 수 있습니다. 이는 CBAM 보고서 작성 시 필요한 정보 중 하나이며, 이행 규정의 부속서 I에 포함된 정보를 제출해야 합니다. 따라서 사용자는 간접배출량을 정확히 계산하여 보고서에 입력해야 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"산화계수는 자동 계산되나요, 아니면 입력값이 필요한가요?","산화계수는 자동으로 계산되지 않고, 입력값이 필요합니다. 자동 계산 결과가 아니기 때문에 정확한 값을 입력해주셔야 합니다. 해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
제품당 수출량은 어떤 단위로 입력하나요?,"제품당 수출량은 ton, m3, MWh, TJ와 같은 단위로 입력해야 합니다. EU CBAM에서 제시하는 유효 숫자는 최대 소수점 다섯째 자리로 반올림되므로, 단위 환산 시 소수점 셋째 자리 수준의 값으로 계산됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
복합제품에서 각 구성 원료의 입력은 개별로 입력해야 하나요?,"제품 생산에 공통 자원을 사용할 경우, 각 제품 생산공정별로 데이터를 개별로 할당해야 합니다. 따라서 복합제품에서 각 구성 원료의 입력은 개별로 해주셔야 합니다. 이는 CBAM의 제품 생산공정별 데이터 할당 방식에 따른 것이며, 공정별 투입량을 직접 입력하여 자동으로 분배 및 처리됩니다. 해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
직접배출량은 어떤 방식으로 계산되나요?,"직접배출량은 열량과 열 배출계수의 곱으로 계산됩니다. 연료와 원료의 열량을 더한 후, 해당 값을 열 배출계수와 곱하여 배출량을 계산합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
간접배출량은 어떤 기준으로 계산되나요?,"간접배출량은 다른 출처의 방법을 사용하여 산정됩니다. 예를 들어, 사업장 내 제품을 생산하는 일련의 공정에서 미미하게 발생하는 배출량을 추정할 수 있습니다. 이를 통해 총 내재배출량의 20%까지 추정할 수 있습니다. 간접귀속배출량은 1,370 tCO2으로 산정되며, 출량 정확도를 향상시키기 위해 다양한 출처의 방법을 사용할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
복합제품은 어떤 방식으로 계산되나요?,"복합제품의 배출량은 제품의 생산과정에서 발생한 온실가스 배출량 외에 공정에 투입되는 전구물질의 제품당 배출량까지 포함하여 산정해야 합니다. 이는 CBAM 플랫폼에서 자동으로 기본값을 적용하여 계산됩니다. 만약 더 자세한 정보가 필요하시다면, 가이드 섹션 4.3.4(EU 수입업자)/섹션 4.3.3(비EU 사업장)을 참고해주세요. 해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
전구물질은 어떻게 계산되나요?,"전구물질은 생산 과정에 투입되는 물질로 고유내재배출량을 가지고 있습니다. 전구물질의 배출량은 모든 관련 전구물질의 배출량을 합산하여 제품의 고유내재배출량 계산에 반영됩니다. 만약 동일한 전구물질을 여러 시설로부터 가져오는 경우, 시설별로 전구물질을 각각 계산해야 합니다. 정보가 불완전할 경우, 집행위가 제공하는 기본값을 적용할 수 있습니다. 전구물질 자체가 복합제품인 경우, 영향이 없어질 때까지 계산을 반복해야 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
"세금(전력세, 에너지세 등)은 계산에 포함되나요?",해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17"
인증서 단가는 어떤 기준으로 계산되나요?,CBAM 인증서 단가는 [수출기업의 제품당 배출량 - EU ETS 무상할당량] * 총 제품 수입량 * EU ETS 배출권 경매 종가의 주당 평균가로 계산됩니다. 이후 CBAM 지불 필요 비용에서 기지불한 탄소가격을 차감하여 CBAM 최종 부과금액을 결정합니다. 해당 정보는 manual 및 cbam 문서에 자세히 기재되어 있습니다.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17, 23.08.17"
수출량을 입력하지 않으면 인증서 예상 비용은 어떻게 계산되나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
보고서에 포함되는 항목은 무엇인가요?,"보고서에는 보고서 발행일, 보고서 초안 ID, 보고서 ID, 보고기간, 연도, 보고 신고인(이름/주소), 세관대리인(이름/주소), 수입업자(이름/주소), 관할당국, 서명, 수입된 CBAM 상품, 상품 품목번호, 상품코드(HS 6단위 코드/CN 코드), 상품세부사항, 원산지, 통관 절차별 수입량, 절차(통관) 역내가공 정보, 수입지역, 상품 측정값(통관 절차/역내가공), 상품측정값(수입상품), 생산국, 사업장의 정보가 포함됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"배출계수, 산화계수도 보고서에 표시되나요?",해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
이 보고서를 EU에 그대로 제출해도 되나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"인증서 단가는 고정인가요, 변동되나요?","CBAM 인증서 가격은 매주 경매 플랫폼상의 EU-ETS 배출권 종가의 평균가격에 따라 변동됩니다. 경매가 없는 주에는 이전 주의 종가를 기준으로 산정됩니다. 현재는 해당 플랫폼에서 제공되는 엑셀파일을 통해 종가를 확인하고 DB를 통해 평균을 계산하고 있으며, 추후 API 연동을 통해 자동화할 예정입니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17"
